random_seed,train_patient_count,test_patient_count,model,scaled_features,preprocessing,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,false_pathological_predictions,true_pathological_detections,normal_recall,normal_precision,normal_f1,pathological_recall,pathological_precision,pathological_f1,suspicious_recall,suspicious_precision,suspicious_f1
6,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.6126126126126126,0.5027156402467089,0.4696969696969697,0.6420966420966422,"[[50, 7, 14], [2, 2, 2], [9, 9, 16]]",16,2,0.704225352112676,0.819672131147541,0.7575757575757576,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.47058823529411764,0.5,0.48484848484848486
6,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6126126126126126,0.4416367485961521,0.4423400673400673,0.6098029848029849,"[[53, 2, 16], [3, 1, 2], [17, 3, 14]]",5,1,0.7464788732394366,0.726027397260274,0.7361111111111112,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4117647058823529,0.4375,0.42424242424242425
6,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6126126126126126,0.4518549203719046,0.4478936046602917,0.619146679771297,"[[51, 2, 18], [2, 1, 3], [14, 4, 16]]",6,1,0.7183098591549296,0.7611940298507462,0.7391304347826086,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.47058823529411764,0.43243243243243246,0.4507042253521127
6,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6036036036036037,0.42672374113964834,0.43050401978973407,0.594632201775059,"[[54, 1, 16], [3, 1, 2], [19, 3, 12]]",4,1,0.7605633802816901,0.7105263157894737,0.7346938775510204,0.16666666666666666,0.2,0.18181818181818182,0.35294117647058826,0.4,0.375
6,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6666666666666666,0.5411028261069686,0.549430961195667,0.6649026649026648,"[[54, 2, 15], [3, 2, 1], [15, 1, 18]]",3,2,0.7605633802816901,0.75,0.7552447552447552,0.3333333333333333,0.4,0.36363636363636365,0.5294117647058824,0.5294117647058824,0.5294117647058824
7,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5225225225225225,0.5066280033140017,0.4541804677306032,0.5446530541381489,"[[39, 4, 28], [0, 3, 3], [13, 5, 16]]",9,3,0.5492957746478874,0.75,0.6341463414634146,0.5,0.25,0.3333333333333333,0.47058823529411764,0.3404255319148936,0.3950617283950617
7,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6126126126126126,0.4061032863849765,0.40952380952380957,0.6191763191763192,"[[51, 6, 14], [3, 0, 3], [15, 2, 17]]",8,0,0.7183098591549296,0.7391304347826086,0.7285714285714285,0.0,0.0,0.0,0.5,0.5,0.5
7,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6036036036036037,0.3809721071527202,0.382464096749811,0.5963514534943107,"[[54, 5, 12], [2, 0, 4], [20, 1, 13]]",6,0,0.7605633802816901,0.7105263157894737,0.7346938775510204,0.0,0.0,0.0,0.38235294117647056,0.4482758620689655,0.4126984126984127
7,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.5945945945945946,0.37116818558409276,0.36824324324324326,0.5816289262235208,"[[54, 3, 14], [2, 0, 4], [21, 1, 12]]",4,0,0.7605633802816901,0.7012987012987013,0.7297297297297297,0.0,0.0,0.0,0.35294117647058826,0.4,0.375
7,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.5495495495495496,0.40877289883089385,0.40717187776011304,0.5576060957618986,"[[46, 3, 22], [1, 1, 4], [18, 2, 14]]",5,1,0.647887323943662,0.7076923076923077,0.6764705882352942,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4117647058823529,0.35,0.3783783783783784
