fold_number,repeat_number,fold_within_repeat,train_patient_count,test_patient_count,model,scaled_features,preprocessing,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,false_pathological_predictions,true_pathological_detections,normal_recall,normal_precision,normal_f1,pathological_recall,pathological_precision,pathological_f1,suspicious_recall,suspicious_precision,suspicious_f1
10,2,5,442,110,LightGBM,False,median imputation -> training-only SMOTE,0.6545454545454545,0.4868544600938967,0.5,0.65,"[[54, 1, 16], [3, 1, 1], [16, 1, 17]]",2,1,0.7605633802816901,0.7397260273972602,0.75,0.2,0.3333333333333333,0.25,0.5,0.5,0.5
10,2,5,442,110,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6636363636363637,0.5535211267605634,0.5659204826381802,0.6634167764602547,"[[54, 1, 16], [1, 2, 2], [16, 1, 17]]",2,2,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.4,0.5,0.4444444444444444,0.5,0.4857142857142857,0.4927536231884058
11,3,1,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5135135135135135,0.38269617706237424,0.3652485095498859,0.5348856148063772,"[[45, 6, 20], [1, 1, 3], [17, 7, 11]]",13,1,0.6338028169014085,0.7142857142857143,0.6716417910447762,0.2,0.07142857142857142,0.10526315789473684,0.3142857142857143,0.3235294117647059,0.3188405797101449
11,3,1,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6036036036036037,0.5012743125419182,0.4916057122953674,0.5993711579918476,"[[52, 3, 16], [1, 2, 2], [21, 1, 13]]",4,2,0.7323943661971831,0.7027027027027027,0.7172413793103448,0.4,0.3333333333333333,0.36363636363636365,0.37142857142857144,0.41935483870967744,0.3939393939393939
11,3,1,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6036036036036037,0.49161636485580146,0.48110242935962794,0.5918975126595823,"[[54, 3, 14], [1, 2, 2], [23, 1, 11]]",4,2,0.7605633802816901,0.6923076923076923,0.7248322147651006,0.4,0.3333333333333333,0.36363636363636365,0.3142857142857143,0.4074074074074074,0.3548387096774194
11,3,1,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6036036036036037,0.429644533869886,0.4349206349206349,0.5891891891891893,"[[55, 2, 14], [1, 1, 3], [23, 1, 11]]",3,1,0.7746478873239436,0.6962025316455697,0.7333333333333333,0.2,0.25,0.2222222222222222,0.3142857142857143,0.39285714285714285,0.3492063492063492
11,3,1,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6126126126126126,0.37719651240778,0.37587301587301586,0.5977177177177176,"[[56, 1, 14], [3, 0, 2], [20, 3, 12]]",4,0,0.7887323943661971,0.7088607594936709,0.7466666666666667,0.0,0.0,0.0,0.34285714285714286,0.42857142857142855,0.38095238095238093
12,3,2,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5765765765765766,0.4941544692994569,0.4753550543024227,0.5869629027523764,"[[44, 3, 24], [4, 2, 0], [13, 3, 18]]",6,2,0.6197183098591549,0.7213114754098361,0.6666666666666666,0.3333333333333333,0.25,0.2857142857142857,0.5294117647058824,0.42857142857142855,0.47368421052631576
12,3,2,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6666666666666666,0.48002393445641167,0.483371126228269,0.6606402320688035,"[[57, 3, 11], [3, 1, 2], [16, 2, 16]]",5,1,0.8028169014084507,0.75,0.7755102040816326,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.47058823529411764,0.5517241379310345,0.5079365079365079
12,3,2,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6126126126126126,0.4416367485961521,0.439445356686736,0.6114567769740183,"[[53, 3, 15], [5, 1, 0], [16, 4, 14]]",7,1,0.7464788732394366,0.7162162162162162,0.7310344827586207,0.16666666666666666,0.125,0.14285714285714285,0.4117647058823529,0.4827586206896552,0.4444444444444444
